Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,19855.179874836616,1283.8035493440002,9040.71919647,20213.6849677475,20377.252655,1594.5417381701823,3157.2455057543375,21374.034999375002,21571.96886340656,2128,1600,1200,1928,11576409.580536135
Brobdingnag,13718.0,650.16,14408.568,19237.5,45360.0,19.549090909090914,679.6220930232557,10935.0,12172.34,1800,2000,2576,2008,-16816171.063573558
Carpania,18000,888,9890.0,14250.0,5000,1351.4545454545455,500,12000,16705.88888888889,1456,1800,1400,1480,-359688.7883550413
Dinotopia,14726.452921248956,161.48337359040005,2650.6402233535005,8445.52992127725,36678.0126105,732.6981061911272,968.8256135984907,8174.4738755624985,4175.525109675385,1256,1400,1584,1600,-3249633.5971338935
Erewhon,18775.076469539417,1249.9425970656,10939.5073801765,10938.39221347525,54075.3347345,1591.1745265477819,1806.941871199497,12908.2748750625,4292.412927851211,1592,1400,1584,1200,3125004.6723352224
MyCountry,12314.933125,262.61047999999994,6490.896375,16084.8,45509.4,86.58199272727275,1671.3649164244187,11101.86,4083.674791666667,1128,1600,1640,1800,-11185459.281575877
