Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,13268.408625781249,38.631376799999956,3002.2319632812496,5125.997557968751,34914.845,232.33425803636362,239.6298828125,9087.641099999999,2028.6518867797852,1864,1800,1512,1300,-11685483.60288535
Brobdingnag,26376.27939972275,2211.252605072,25739.02927376719,37561.03805113906,124257.09662499999,3015.6511821730905,4492.788818359375,30749.63507549999,36015.634748799086,1520,1200,1700,1800,30142253.756260186
Carpania,17000,532,15180.0,23750.0,10000.0,830.5454545454545,1212,12000,19515.27777777778,1228,2000,2012,1500,-1744020.0072724372
Dinotopia,13324.914220548731,212.02925932799985,9240.564039428125,6292.388672142187,24217.471125,15.87400648145449,543.345703125,5243.396196375,3278.9861396815504,2000,1200,2376,1100,-6303818.19787557
Erewhon,17000,804,16915.0,15000,71500.0,372,1864,18000,22000,1956,1100,1384,1400,-780530.0482591465
MyCountry,6983.3729609375,282.0867588,409.8137290234375,10761.680250000001,25110.587249999997,101.59509876363636,376.235595703125,9087.641099999999,5818.023719965279,1828,1900,2244,1400,-29497003.34418352
