Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,19932.659906900386,1527.6827081600002,12724.193138975,20217.095702775,84925.10295,1830.5908163490913,2683.349609375,21602.640693750003,22575.821587087674,2064,1600,1200,1800,12359516.247888908
Brobdingnag,15200.0,850.4,22195.0,21375.0,54000.0,32.43636363636361,1027.0,16200.0,8330.555555555557,1800,2000,2448,2000,-7620333.938129686
Carpania,18000,760,13200.0,15000,45000,1139.4545454545455,1284,12000,4777.777777777777,1328,1800,1784,1400,2387574.3267060444
Dinotopia,16362.049358724606,483.89081184000014,425.7937235250004,10532.386399725,45785.49705,1242.444645469091,1521.263671875,10216.143056249999,11510.165817426216,1192,1400,1456,1600,1927768.7572465148
Erewhon,17100.0,1211.2,1982.499999999999,9000.0,45000.0,963.2,1224.0,10800.0,10200.0,1592,1400,1456,1200,-1795554.418207476
MyCountry,11554.933125,494.82647999999995,4986.508437500001,13733.55,40289.4,39.873629090909105,852.38671875,9724.86,8466.014166666666,1064,1600,1448,1800,-16553671.093036557
