Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,11026.378359375,310.0079999999999,4994.9056,934.9425,1968.3,203.70036363636365,106.875,3598.2984375,391.5046875,5064,8000,4384,6000,-239022.40088781994
Brobdingnag,14061.252972070313,381.11199999999997,6075.523136000001,3894.3825,4218.7,7.470545454545402,1084.2761627906978,6974.893652343751,2206.5890625,3000,6000,3496,2500,1227718.2185764788
Carpania,13953.51984375,1468.88,1438.3519999999999,9256.49125,8513.0,1524.2836363636363,2604.6627906976746,10687.828125,2051.90625,4256,5000,4500,4000,-660634.246820597
Dinotopia,9453.741145869139,447.3112067999999,194.27030700000003,9087.641099999999,4782.969,52.47154734545455,400.06112599927326,4035.63009375,548.7012264105903,2128,1600,1696,1500,-20808849.855922334
Erewhon,13537.5,1488,233.0,22800.0,15000,3256,5210,8437.5,3750.0,2256,1600,1400,1500,-3177970.0041276217
MyCountry,20154.670178935547,2452.6887932,1786.2325529999994,35410.8244,20517.031,4868.0739072,8370.124920512353,25986.604593750002,6085.258011870659,2384,1800,1600,1500,6358862.909407228
