Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,12570.071329687498,419.56303679999996,3239.570817304687,11687.274432168748,150014.3265,133.38849280000002,59.9345703125,10522.5318,8598.841963492838,1528,1600,1528,1000,-40935955.67783495
Brobdingnag,13231.654031249998,442.07676000000004,14534.078500000003,14024.1375,2066.715,157.71275636363637,477.837890625,6200.145,6137.923489583334,1064,1200,1712,1200,-29164904.313616443
Carpania,30094.087482726558,2958.651726191999,54583.441101458695,74235.86779806699,35348.253834999996,3332.018594164363,3931.0582090865737,50658.669399499995,40882.66838227805,1256,1600,1856,2000,1528470.9938861206
Dinotopia,11344.489375042967,220.61893679999997,1436.476629375,11957.4225,23914.845,188.2390528,345.41327330123545,5918.9241375,8656.168640625003,1792,1600,2056,1000,-30652322.01329241
Erewhon,20000,104,4900,10000,50000.0,1448.0,1597.6744186046512,20000,16444.44444444444,2048,1800,1800,1200,262663.46610864066
MyCountry,14400.004656292966,495.08954020799985,12622.907951861622,23739.506155336137,8655.859665000002,820.641103872,988.0816380700401,14191.104662999998,6127.396964748863,1792,2000,1848,1600,-15711962.768381782
