Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,13341.184759218751,580.1679187199998,10840.240694330078,14738.703690470618,29763.976499999997,626.4634796218182,166.3104248046875,12808.84347,6560.145607280002,1592,1600,1400,1000,-36516520.47930238
Brobdingnag,13928.056874999998,514.3643999999998,19665.294499999996,15582.375,22963.5,4.94312727272727,630.703125,6889.05,5190.5309027777785,1000,1200,1840,1200,-25711988.52291934
Carpania,30415.892036050784,3020.25567568,40245.624453154305,76427.33748569092,134225.8025,3659.53998336,4642.3504638671875,52025.1193925,42124.226583720716,1256,1600,1856,2000,1564485.2354211882
Dinotopia,11344.489375042967,278.21893679999994,6943.291108375,11957.4225,23914.845,57.16705280000001,135.053466796875,5918.9241375,11195.088831597222,1728,1600,2120,1000,-30107498.398471072
Erewhon,20000,104,5000,10000,40000,1152.5454545454545,1600,20000,20000,2048,1800,1800,1200,557288.1358337644
MyCountry,12570.071329687498,254.99306879999983,7434.464244140626,16740.3915,19131.876,115.34090240000003,497.58251953125,9565.938,935.40300108507,1664,2000,2056,1600,-33918276.81585776
