Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,20590.256344376034,1419.5861464096001,15588.5737641465,20914.57718122275,7892.5873895,1835.0879010816002,3049.3400840759277,22102.309874437502,21003.70290236888,2064,1600,1200,1960,14457725.408918932
Brobdingnag,15200.0,1016,6502.4,23750.0,12000,312.5454545454545,1756,13500.0,12899.111111111111,1864,2000,2256,2096,-4238903.022709452
Carpania,18000,888,12040.0,14250.0,5000,1451.4545454545455,300,12000,16678.111111111117,1456,1800,1400,1480,294918.17806859314
Dinotopia,14726.452921248956,161.48337359040005,2742.8080358535008,8445.52992127725,36678.0126105,673.7773789184,870.5856971740723,8174.4738755624985,7402.219554119829,1256,1400,1584,1600,-4338570.046433227
Erewhon,18000,1232,12950.0,10000,50000,1408,1384,12000,3555.5555555555547,1592,1400,1584,1200,2670581.8265516944
MyCountry,10832.933125,282.93047999999993,3437.809375,11809.8,35429.4,7.134720000000016,1048.07421875,8266.86,628.6659027777783,1064,1600,1584,1800,-19788779.5446143
