Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,13268.408625781249,114.2140968,5637.751353906251,5125.997557968751,23914.845,52.35658007272737,266.6942734829215,9087.641099999999,3580.7017131686735,1928,1800,1256,1300,-9752575.65452763
Brobdingnag,27100.514342226557,2321.4799916,38304.1187439375,39070.45772328125,129342.69174999998,3143.3302900363637,4108.952994413154,32044.840424999995,37811.243219991055,1520,1200,1700,1800,6034120.773843091
Carpania,17000,532,7450.0,23750.0,42500,1208,1535.1627906976744,12000,14111.111111111111,1292,2000,1884,1500,-412086.5044244863
Dinotopia,12604.988194492187,15.534928799999982,87.5633144999998,4782.969,19131.876,150.70939694545453,333.7646484375,4035.630093749999,4167.50214765625,2112,1200,2312,1100,-7643482.270802301
Erewhon,17000,804,18800.0,15000,50000.0,956,1428,18000,22000,2084,1100,1128,1400,450878.3290484287
MyCountry,6983.3729609375,292.77098279999996,821.25723203125,10761.680250000001,25110.587249999997,161.60373294545454,319.42529296875,9087.641099999999,7690.70358107639,1828,1900,2212,1400,-18183132.42630592
