Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,10475.059441406249,141.84902879999993,230.216066484375,647.494428375,1434.8907000000002,342.117513309091,68.31109193313955,4663.394775,180.3246121582031,5000,8000,4640,6000,-1040330.0612390506
Brobdingnag,15352.637835937501,383.4954512,11835.372748828126,4141.881409125001,4336.5793,4.2251921454545265,1023.2419603924418,9949.9507875,530.3707372341581,3000,6000,3464,2500,2178906.1718398975
Carpania,16253.9109375,1136.46352,2075.23465625,9683.066935625,8415.53,1043.2922036363634,2849.481831395349,14350.4725,1959.8500048828125,4384,5000,4500,4000,-690763.1816893481
Dinotopia,9453.741145869139,258.75875879999995,1340.8076084999998,9565.938,4782.969,107.14607243636365,380.02076898619185,4035.630093749999,961.73126484375,2256,1600,1720,1500,-20155089.767791037
Erewhon,15000,1104,55.0,24000,15000,3448,5230,15000,5000,2448,1600,1400,1500,-493789.6343872696
MyCountry,21362.25416663086,2379.433241199999,141.0148915000002,37834.487,21030.031,5167.219018472727,8472.944347292878,26181.307406249998,10785.938874045138,2448,1800,1600,1500,6196133.605538964
