Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,22724.960699063533,1429.7965936096,14548.963099674937,25233.748618722748,102305.3333895,2274.9171770088733,3934.2122802734375,25622.281274437504,28465.97090767345,2192,1600,1200,1800,24016270.66212345
Brobdingnag,13718.0,749.36,18502.2,19237.5,48600.0,9.949090909090888,711.25,10935.0,7080.972222222223,1800,2000,2464,2000,-14539834.651996698
Carpania,18000,632,15350.0,14250.0,45000,1206.909090909091,1212,12000,3583.333333333333,1328,1800,1912,1400,1812510.8876224905
Dinotopia,14766.749546248957,173.07155759040012,180.02883548131285,8531.232983777249,37086.2526105,762.2336640093092,919.4608154296875,8275.0758755625,8316.09480309044,1320,1400,1456,1600,-3080423.1609735973
Erewhon,17100.0,955.2,667.4999999999991,9000.0,45000.0,1191.2,1234.0,10800.0,10200.0,1720,1400,1456,1200,-1382472.9347279482
MyCountry,11079.9321453125,436.5718487999999,1396.3033648437508,12855.5505,37008.414,2.7909771636363714,765.076904296875,8861.2866,7019.519193749999,1064,1600,1488,1800,-18282477.481125616
