Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,18000,944,20850.0,35000,40000,34.90909090909091,1307.1627906976744,12000,18000,1000,1000,2256,1600,1533957.515713647
Brobdingnag,10000,1344,5150,15000,45000,837.0909090909091,1300,12000,12000,1728,1400,2000,1800,291572.8938666694
Carpania,20000,1408,10190.0,34808,50000,424,900,22192,18000,2000,2192,1000,1600,-853426.9242056683
Dinotopia,16000,1144,7470,24744,40000,632,1048.8372093023256,12256,20000,1600,1456,1400,2000,-2294292.7334600687
Erewhon,12000,1408,390.0,9808,45000,524,600,22192,22000,2000,1992,1600,1200,-1406854.6484160982
MyCountry,10000,1472,15360,19872,50000,516,1100,18128,22000,1200,1528,1000,1200,-856840.2525159195
