Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,9776.7221453125,293.85427679999987,8731.167265156248,5843.637216084374,26306.3295,632.3031691636363,56.825036337209326,6696.1566,2231.517075457764,2192,1600,1200,1800,-15567227.357424995
Brobdingnag,26506.621464636246,1811.252448411281,14749.801566758448,35818.116487873485,118756.84933033695,2795.0474828953566,3991.076269795728,24813.97666648832,33452.59566336695,2120,2000,2000,2000,13953125.363197602
Carpania,17100.0,684.0,26102.5,12825.0,40500.0,39.63636363636359,777.5,10800.0,6056.25,1200,1800,2040,1400,-639184.0533641726
Dinotopia,18111.44860147817,683.8723859887198,1568.4745687190236,18595.917992917126,63884.00716966305,1887.2017889591893,2248.3367139433703,13967.640028802309,22603.331291166614,1320,1400,1328,1600,16407522.370371165
Erewhon,14661.1125,784.8072,512.4774999999989,6561.0,32805.0,119.7474909090909,835.5446947674418,7873.2,5626.067361111111,1464,1400,1784,1200,-6959847.882361532
MyCountry,10631.7221453125,342.21368879999994,700.3282734375001,10848.438,32747.814,6.063704436363592,770.71728515625,7776.1566,4977.708221527778,1064,1600,1528,1800,-20589882.433544144
