Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,26983.085164714652,445.48357083300186,2358.669348375071,32355.917841149738,124461.0974162846,2750.544155977432,5136.874855872874,22499.164955037548,31739.67400697983,2640,1600,1200,1800,32911231.69015269
Brobdingnag,10614.726900625,1.820066400000012,8022.7387555625,11359.551375000001,42803.964,510.2951144727273,152.4486566587936,6457.00815,3141.864992664931,2104,2000,2476,2000,-30306208.022926904
Carpania,16245.0,56,26544.0,13537.5,23500.0,40.00000000000003,1208.0,6750.0,59.72222222222243,1328,1800,2488,1400,2082182.545065157
Dinotopia,13554.89926207924,25.89766229456017,821.2824249340223,11927.903202962008,45831.688578010464,1185.6645704106177,1872.2465296895984,8725.294407325448,14067.464152822058,1480,1400,1600,1608,3425939.469045257
Erewhon,16245.0,40.48000000000002,314.87499999999915,7695.0,40500.0,191.61454545454552,1683.0,9720.0,6502.5,1816,1400,2096,1200,-3670374.10183952
MyCountry,9384.374262524845,6.318700472437808,767.6080210577683,10161.173435256023,33903.25000570493,377.88161368467945,251.42995777873455,5171.994631873039,3150.007911472935,1192,1600,1644,1800,-21658951.788541406
