Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,13268.408625781249,38.631376799999956,6839.217322656251,5125.997557968751,31131.945000000003,93.6309853090909,136.3251953125,9087.641099999999,2687.3075595228406,1928,1800,1384,1300,-10478250.35425675
Brobdingnag,26376.27939972275,2178.836605072,37607.78566666718,37561.03805113906,137987.05977499997,3020.2730003549095,3879.6981201171875,30749.63507549999,37667.01610734075,1520,1200,1700,1800,30141610.647204943
Carpania,17000,532,12850.0,23750.0,10000.0,1026,1422,12000,14708.33333333333,1228,2000,2012,1500,-2243677.614544332
Dinotopia,13324.914220548731,154.42925932799986,4735.828750309375,6292.388672142187,35770.407974999995,113.15109739054542,694.5897216796875,5243.396196375,1267.0483271468272,2000,1200,2440,1100,-6111753.686961245
Erewhon,17000,804,8100.0,15000,50000,564,2156,18000,22000,2020,1100,1256,1400,-2460698.556652315
MyCountry,6983.3729609375,212.10275879999995,239.07285636718765,10761.680250000001,25110.587249999997,166.94491694545454,215.386962890625,9087.641099999999,11369.056445659724,1892,1900,2212,1400,-25871642.85268321
