Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,22759.255699063535,1588.1344816096,13871.00217405275,25426.123618722748,70555.88938950001,2258.6231144634185,4304.864742279053,25731.631274437503,22785.005781953085,2128,1600,1200,1864,42529096.268855356
Brobdingnag,13032.1,701.496,8569.634599999998,17313.75,40824.0,202.68072727272727,690.875,9841.5,7196.058444444445,1800,2000,2416,2008,-34498726.192130975
Carpania,18000,632,14250,14250.0,45000,1479.4545454545455,100,12000,21291.66666666667,1584,1800,1400,1400,47631.46440666914
Dinotopia,14766.749546248957,258.0787895904001,3027.5853006347506,8531.232983777249,37083.3366105,798.7622574638547,962.2497596740723,8275.0758755625,5130.191852556462,1192,1400,1584,1600,-3818348.454726875
Erewhon,17100.0,955.2,4132.499999999999,9000.0,45000.0,1075.7454545454545,1399.0,10800.0,3519.444444444445,1720,1400,1456,1200,-2016321.8184685446
MyCountry,11731.537145312499,425.09072879999997,8430.609100312502,14586.9255,40536.774,8.733900800000004,1007.010498046875,9845.436599999999,3615.047974756945,1064,1600,1608,1800,-23612571.207627036
