Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,21897.837574063535,1407.0959216096003,12326.463589677753,24545.37861872275,81920.3893895,2132.2807144634185,4051.2397422790527,24619.111274437502,21648.859518932255,2128,1600,1200,1832,33020678.524498
Brobdingnag,13032.1,701.496,8569.634599999998,17313.75,40824.0,7.226181818181805,790.875,9841.5,7196.058444444445,1800,2000,2416,2008,-29584708.16953107
Carpania,18000,632,14250,14250.0,45000,1479.4545454545455,200,12000,18902.777777777777,1584,1800,1400,1400,62363.360509730875
Dinotopia,14728.167671248957,162.31734959040008,2658.6238850097507,8461.97798377725,36718.8366105,796.3046574638547,958.8747596740723,8187.5958755625,4004.3658933550732,1256,1400,1584,1600,-3582240.78759853
Erewhon,18000,1232,6499.999999999999,10000,50000,1400,1456,12000,8388.888888888889,1656,1400,1456,1200,891665.2782654092
MyCountry,11731.537145312499,425.09072879999997,8430.609100312502,14586.9255,40536.774,8.733900800000004,1007.010498046875,9845.436599999999,3615.047974756945,1064,1600,1608,1800,-20597638.291617736
