Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,27751.84696282672,116.70317496673047,2637.331220876724,30609.324255600935,32450.649324785747,2646.571116019659,5119.703100928697,22363.442285653775,15204.911621281497,2768,1600,1200,2056,32033471.007804766
Brobdingnag,9579.791027814064,1.4742537840000096,115.14672689515646,9201.236613750001,34671.21084,426.58887326254546,42.00236937057139,5230.176601499999,8719.997457200412,2104,2000,2476,2000,-33540806.26445412
Carpania,15869.435553195832,0.6871537625647794,31087.71050934456,13261.832240619638,39614.801982617166,704.4568093179096,827.2403902950205,7206.272903945221,5359.107836807348,1348,1800,2530,1400,260052.57599931583
Dinotopia,12626.960763024075,0.04510802905353389,645.9517515110351,10933.875261508294,37382.040009940756,531.3623905915081,1339.9524910708515,7919.483736002024,7445.665705037913,1516,1400,1600,1624,1181908.4088473562
Erewhon,13889.475,0.4800000000000182,36.899999999999324,7310.25,8000.0,221.61454545454552,1703.0,7290.0,6502.5,1836,1400,2096,1200,-4165909.9547505714
MyCountry,10954.051283083048,0.6103094576510651,4039.1583413018907,12255.283117066043,22881.297842656295,681.4062653538351,1320.1016483348599,6884.086617135009,3064.9060821979465,1192,1600,1650,1800,-16386462.28783426
