Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,12570.071329687498,458.13613680000003,5379.089567304687,12302.394139125001,23914.845,58.559692800000015,98.79345703125,10522.5318,8396.092179934354,1464,1600,1720,1000,-40075907.35723567
Brobdingnag,19942.751813316405,851.9041375999999,26260.5828356707,30967.682773375,158626.93399999998,153.81793745454553,1629.333585517351,15223.323124999999,19958.773766550024,1000,1200,1840,1200,11796524.242448136
Carpania,25158.37096875,2737.3973199999996,42782.259775,65065.180526874996,5911.5,3253.570152727273,3931.747365552326,45604.8575,37407.0569930013,1256,1600,1856,2000,1498334.3602580726
Dinotopia,12294.489375042967,241.49893679999997,3716.476629375,12857.4225,37414.845,409.67905279999997,661.0319142896076,7718.9241375,7499.313328125001,1792,1600,2056,1000,-29392664.654368788
Erewhon,19000.0,80.80000000000001,4750.0,9000.0,25000.0,1079.2,1251.2558139534885,18000.0,14969.444444444443,1984,1800,1928,1200,-1908743.182216078
MyCountry,12570.071329687498,206.26346879999988,8223.013429774608,16740.3915,19131.876,293.17316421818185,403.83786365597746,9565.938,1518.6108588541672,1728,2000,1976,1600,-33838436.73618257
