Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,10475.059441406249,86.42923199999997,286.2086612499998,797.1615,1594.323,87.85845527272734,229.16478924418607,3886.162312500001,377.149515625,5128,8000,4512,6000,-864316.8536494282
Brobdingnag,15352.637835937501,480.71796800000004,11991.30139375,4386.9885,2223.977,0.011290181818175427,1002.4020712209303,9791.62565625,1555.9678454861112,3000,6000,3368,2500,2391948.3120680377
Carpania,15643.03125,947.4608000000001,1178.581875,10109.35,8218.7,1821.8651636363636,2453.3052325581393,13710.775,2592.11875,4448,5000,4500,4000,275666.41168066673
Dinotopia,9951.306469335936,258.75875879999995,1112.305041875,9565.938,4782.969,81.13298152727275,404.72443904433135,5380.840125000001,961.73126484375,2256,1600,1720,1500,-20177768.36171722
Erewhon,14250.0,1616,22.5,20577.0,15000,3192,5131,11250.0,3901.0416666666665,2192,1600,1400,1500,-8200093.347581364
MyCountry,21475.568530664066,1980.9562261999997,843.2947081250004,35948.533899999995,23180.031,3564.1738133818176,7035.818057321948,24423.1070625,6318.107801367187,2256,1800,1600,1500,6265464.706252828
