Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,12570.071329687498,485.1730368,4648.82819140625,11687.274432168748,69998.345,209.7521291636364,238.68359375,10522.5318,3908.09891677636,1464,1600,1656,1000,-40789505.47874659
Brobdingnag,18001.831875,1055.271072,17288.1266796875,28962.962213557188,13756.89,1401.748957090909,1870.0774436773256,15378.460000000001,20677.05795015687,1128,1200,1520,1200,8941731.811680429
Carpania,25133.29661269922,2504.470204,49946.27876109374,61908.872989845935,5107.869999999992,2605.4062079999994,2831.650401980378,42114.1975875,32775.875488611986,1192,1600,1984,2000,1494069.9364202842
Dinotopia,12941.567763203124,298.618232,4593.007887499998,14286.025,41572.05,424.72502690909096,762.8753179505813,8576.582375,11590.666313368052,1792,1600,2056,1000,-27420467.627191354
Erewhon,19000.0,93.6,4750.0,9000.0,135000.0,922.0363636363636,1236.6279069767443,18000.0,14969.444444444443,2048,1800,1800,1200,-2272379.706814388
MyCountry,13828.732419410155,314.8674551999999,10046.008480312501,19929.0375,4564.844999999999,52.33131520000002,732.0853356649709,11286.4782375,2701.719899262153,1664,2000,2056,1600,-26177553.312838595
