Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,14000,1216,26400.0,20362.65625,55000,320.5454545454545,835.1627906976744,18000,2564.0190972222244,1000,1400,2184,1400,-9375538.469894692
Brobdingnag,24847.035015625,1258.6069312,15218.429588671872,33859.530999999995,63293.67050000001,1832.6587392000001,3131.84033203125,24227.860800000002,19419.689506380208,1392,1000,1128,1832,1493958.7351304442
Carpania,15200.0,1108.8,2707.5,21375.0,54000.0,246.4,1263.0,16200.0,6127.083333333334,2192,1400,2184,1600,-7689479.543999821
Dinotopia,16245.0,360,11103.999999999996,30000,40000,1623.4545454545455,328,12375.0,21166.66666666667,2256,1800,1528,1600,-589266.8520905226
Erewhon,18000,304,12000,15000,45000,1648,348.83720930232556,12000,20388.88888888889,1648,1600,1800,1600,812151.8670418039
MyCountry,14726.745921875,384.59306879999986,1490.339567578125,6920.469,31706.329500000003,16.94126080000002,957.15966796875,10229.3442,278.0118825086813,1864,1400,2240,1400,-7229490.855775967
