Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,19198.24951828574,1423.21721216,9184.659561189997,19802.870861462507,81859.88695,1764.8751346036365,2819.09912109375,20820.423870000002,17311.73611033258,2064,1600,1200,1800,0.0
Brobdingnag,14440.0,707.76,13221.625,19237.5,48600.0,38.9672727272727,762.0,14580.0,14822.288194444445,1800,2000,2512,2000,0.0
Carpania,18000,760,15350.0,15000,45000,752,1412,12000,4777.777777777777,1264,1800,1912,1400,0.0
Dinotopia,16202.29829890176,453.02030784000004,2161.1737338099997,10252.981922287501,44390.71305,973.2323272145455,1493.95166015625,9704.42613,9845.692649433053,1192,1400,1456,1600,0.0
Erewhon,18000,1424,7549.999999999999,10000,50000,1308,1320,12000,10777.777777777777,1528,1400,1520,1200,0.0
MyCountry,12276.933125,616.00248,8014.971875,15657.3,45149.4,82.92526545454544,984.94921875,11182.86,9819.999236111113,1064,1600,1392,1800,0.0
