Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,13341.184759218751,644.5313287199999,9762.078569330077,14738.703690470618,29763.976499999997,385.11598871272747,251.60343897619913,12808.84347,8299.360502728136,1528,1600,1528,1000,-36731626.56729376
Brobdingnag,13231.654031249998,388.93265999999994,14282.921775,14024.1375,20667.15,142.58548363636365,486.01171875,6200.145,6603.814067708334,1064,1200,1712,1200,-29196618.679385826
Carpania,31152.90737980078,3106.0056056799995,53990.26940627929,77899.00623569093,136522.1525,3638.2560269963624,4329.66723348928,52997.524392499996,42239.671150756294,1320,1600,1728,2000,1564254.097679548
Dinotopia,11344.489375042967,220.61893679999997,2506.6075208749994,11957.4225,23914.845,188.2390528,354.50995298873545,5918.9241375,7419.3038315972235,1792,1600,2056,1000,-30545253.713529315
Erewhon,20000,168,5000,10000,40000,1423.4545454545455,1589.6744186046512,20000,17611.11111111111,1920,1800,1992,1200,462153.8976697307
MyCountry,12570.071329687498,287.91146879999985,4823.210228515625,16740.3915,19131.876,94.34890240000001,468.5332371911337,9565.938,3462.442080946181,1728,2000,1864,1600,-34179670.244886085
