Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,11871.796875,216,707.0,6948.755859375,20000,500.0,38,3844.75,6222.720833333335,4128,2600,2128,1500,-9199392.715489432
Brobdingnag,12834.375,8,2749.25,6948.755859375,20000,664.1818181818185,502.3255813953489,5915.0,2824.6506944444445,4296,2600,2000,1500,-8983988.940298088
Carpania,11793.75,48,1580.0,11385.0,20000,134.3636363636364,1152,9100.0,1044.444444444445,4000,2600,2552,1500,-2169438.1742777806
Dinotopia,12834.375,0,21.125,10209.375,20000,170.3636363636364,1092.8372093023256,5915.0,714.7222222222226,4128,2600,2344,1500,-3901234.4214307405
Erewhon,12834.375,0,214.5,12375.0,20000,261.2727272727273,334,5915.0,16566.666666666664,4128,2600,2344,1500,-2674575.2556401584
MyCountry,13875.0,0,1430.0,12375.0,20000,173.81818181818184,1120.8372093023256,9100.0,2119.4444444444453,4064,2600,2472,1500,-1202090.9400506206
