Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,20000,1616,15750.0,20362.65625,50000,1303.4545454545455,802.5116279069769,20000,2574.652777777778,1464,1600,1456,2000,-9865560.629465874
Brobdingnag,13300.0,1224,3450.0,33250.0,40000,1482.909090909091,1517.4883720930231,15000.0,9569.444444444443,2056,1200,2064,2000,94893.47675156593
Carpania,14000,824,12844.0,28500.0,56000,25.090909090909037,1438,22000,16425.38888888889,1864,1000,1848,1008,-2294851.1998184323
Dinotopia,12635.0,984,6970.0,15000,50000,80.54545454545453,1408.0,11250.0,21522.22222222222,1064,1000,1288,1400,406678.6558002718
Erewhon,14000,768,1850.0,20000,40000,1423.4545454545455,1692,12000,22000,2120,1600,2192,1400,238432.76104186475
MyCountry,16000,232,9844.0,15000,56000,220.5454545454545,1702,14000,21096.222222222223,2128,1600,2312,1208,871594.4727013558
