Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,12570.071329687498,419.56303679999996,3239.570817304687,11687.274432168748,150014.3265,133.38849280000002,59.9345703125,10522.5318,8598.841963492838,1528,1600,1528,1000,-40935955.67783495
Brobdingnag,13231.654031249998,442.07676000000004,13586.453500000003,14024.1375,2066.715,193.78548363636364,492.322265625,6200.145,6123.252725694445,1064,1200,1712,1200,-29353867.635925267
Carpania,30094.087482726558,2958.651726191999,53734.8654764587,74235.86779806699,35348.253834999996,3401.7756850734545,3949.0084043990737,50658.669399499995,40253.373409752,1256,1600,1856,2000,1528562.6834271401
Dinotopia,11344.489375042967,220.61893679999997,1436.476629375,11957.4225,23914.845,188.2390528,344.99139830123545,5918.9241375,8670.839404513892,1792,1600,2056,1000,-30652326.94098524
Erewhon,20000,104,4900,10000,50000.0,1348.0,1597.6744186046512,20000,17666.666666666668,2048,1800,1800,1200,480216.788891403
MyCountry,14400.004656292966,495.08954020799985,14419.108576861621,23739.506155336137,8655.859665000002,814.8112856901819,956.0689427575398,14191.104662999998,5624.814506719349,1792,2000,1848,1600,-15503236.544603959
