Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,9223.411345946044,209.22670799999997,104.60114133066405,1461.4627500000001,2184.813,111.38290036363642,332.6897256540698,1797.2061375937506,329.5066576953125,5128,8000,4452,6000,-133013.33021005546
Brobdingnag,15016.832870507815,369.053292,10553.292049136719,2490.4800421875,5145.187,339.54800872727276,1478.9032976017443,6275.8915415625,819.031113417969,3064,6000,3512,2500,1283660.5454768017
Carpania,12311.937890625,871.2,2423.061875,7692.465,8270.0,1265.9454545454546,2711.6511627906984,8820.743750000001,1707.875,4512,5000,4500,4000,-2410209.6896715686
Dinotopia,7684.414404537568,46.860333757199975,61.65522357820001,5753.19426165,3486.784401,202.60885507723637,154.68607081923375,2209.7496141337497,383.90508846440923,2256,1600,1792,1500,-24577514.61974347
Erewhon,12834.375,1104,250.25,19800.0,15000,3458,5120,6337.5,3250.0,2448,1600,1400,1500,-9927008.665931653
MyCountry,19111.773763936297,2103.6596662428,584.4129857894045,31026.72061335,20913.215599,5186.5147812864,8158.069743134255,16354.250557688061,5124.6925373168415,2512,1800,1600,1500,6235108.249690928
