Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,26153.823260657926,1141.7883314672583,10264.750060821485,29803.90630191588,117891.84323685094,2429.895546539199,4771.813970266387,29026.05304228345,31597.627958787994,2384,1600,1200,1800,33443820.843034305
Brobdingnag,12380.495,370.1016,11620.4855,15582.375,58716.0,324.01105454545456,472.078125,8857.35,5116.002430555556,1928,2000,2472,2000,-24173958.435287345
Carpania,17100.0,376,23480.0,14250.0,23500.0,555.4545454545455,1129.1627906976744,9000.0,3583.333333333333,1328,1800,2168,1400,1938958.446235884
Dinotopia,13903.56904437976,28.417886757541517,664.0505554956055,8655.497751814142,37998.48295714905,1030.5964389712024,1357.391935115637,8747.466276316558,8201.203692394953,1384,1400,1584,1600,-647931.1443479322
Erewhon,16245.0,616.48,214.87499999999915,7695.0,40500.0,876.1600000000001,1071.0,9720.0,6502.5,1784,1400,1584,1200,-4299939.860173207
MyCountry,10706.755085587303,279.21218177519995,680.834183682911,12332.3475645,36393.673806,11.88241448959999,642.5531789203023,8142.774431399998,5730.552899340885,1064,1600,1636,1800,-19222603.251736447
