Name,population,metalElements,timber,landArea,water,metalAlloys,electronics,housing,food,metalAlloysWaste,housingWaste,electronicsWaste,foodWaste,score
Atlantis,12570.071329687498,484.51693679999994,3239.570817304687,11687.274432168748,150014.3265,133.38849280000002,59.9345703125,10522.5318,8259.701027945963,1528,1600,1528,1000,-40935967.60168963
Brobdingnag,13231.654031249998,383.61825000000005,14460.34425,14024.1375,2066.715,157.71275636363637,488.384765625,6200.145,6650.403125520834,1064,1200,1712,1200,-29179513.510402672
Carpania,30094.087482726558,2952.7409212919993,54673.176296458696,74235.86779806699,35348.253834999996,3332.018594164363,3922.4888731490737,50658.669399499995,41093.07619853025,1256,1600,1856,2000,1528459.2191026583
Dinotopia,11344.489375042967,220.61893679999997,1436.476629375,11957.4225,23914.845,188.2390528,345.41327330123545,5918.9241375,8656.168640625003,1792,1600,2056,1000,-30652322.01329241
Erewhon,20000,104,4900,10000,50000.0,1448.0,1597.6744186046512,20000,16444.44444444444,2048,1800,1800,1200,262663.46610864066
MyCountry,14400.004656292966,494.5049551079998,12627.332006861621,23739.506155336137,8655.859665000002,820.641103872,986.1040990075401,14191.104662999998,6149.253512559168,1792,2000,1848,1600,-15719579.9997129
